,id,release_date,movie,production_budget,domestic_gross_x,worldwide_gross,date,year,t1,t2,score,title,studio,domestic_gross_y,foreign_gross,world_gross,dg_diff
202,4,9-Jun-17,It Comes at Night,5000000,13985117,19720203,6/9/17,2017,It Comes at Night,It Comes At Night,0.058823529,It Comes At Night,A24,14000000,5300000,19300000,-14883
68,44,7-Feb-14,The Lego Movie,60000000,257784718,457729388,2/7/14,2014,The Lego Movie,The LEGO Movie,0.214285714,The LEGO Movie,WB,257800000,211400000,469200000,-15282
155,11,29-Sep-17,Flatliners,20000000,16883115,45173738,9/29/17,2017,Flatliners,Flatliners (2017),0.411764706,Flatliners (2017),Sony,16900000,28300000,45200000,-16885
219,81,21-Oct-16,Iâm Not Ashamed,1500000,2082980,2082980,10/21/16,2016,Iâm Not Ashamed,I'm Not Ashamed,0.176470588,I'm Not Ashamed,PFR,2100000,,,-17020
39,100,25-Dec-15,Point Break,100000000,28782481,126704591,12/25/15,2015,Point Break,Point Break (2015),0.388888889,Point Break (2015),WB,28800000,104900000,133700000,-17519
55,20,22-Sep-17,The Lego Ninjago Movie,70000000,59281555,122737201,9/22/17,2017,The Lego Ninjago Movie,The LEGO Ninjago Movie,0.136363636,The LEGO Ninjago Movie,WB,59300000,63800000,123100000,-18445
0,5,15-Dec-17,Star Wars Ep. VIII: The Last Jedi,317000000,620181382,1316721747,12/15/17,2017,Star Wars Ep. VIII: The Last Jedi,Star Wars: The Last Jedi,0.272727273,Star Wars: The Last Jedi,BV,620200000,712400000,1332600000,-18618
118,36,25-Dec-17,Mollyâs Game,30000000,28780744,53296424,12/25/17,2017,Mollyâs Game,Molly's Game,0.214285714,Molly's Game,STX,28800000,30500000,59300000,-19256
153,94,20-Nov-15,Secret in Their Eyes,20000000,20180155,32608019,11/20/15,2015,Secret in Their Eyes,The Secret in their Eyes (2015),0.387096774,The Secret in their Eyes (2015),STX,20200000,14700000,34900000,-19845
34,26,7-Mar-14,300: Rise of an Empire,110000000,106580051,330780051,3/7/14,2014,300: Rise of an Empire,300: Rise of An Empire,0.045454545,300: Rise of An Empire,WB,106600000,231000000,337600000,-19949
17,40,24-May-13,Fast and Furious 6,160000000,238679850,789300444,5/24/13,2013,Fast and Furious 6,Fast & Furious 6,0.166666667,Fast & Furious 6,Uni.,238700000,550000000,788700000,-20150
97,20,22-Jan-16,Yip Man 3,36000000,2679437,157300954,1/22/16,2016,Yip Man 3,Ip Man 3,0.222222222,Ip Man 3,WGUSA,2700000,154200000,156900000,-20563
